"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Charles Sturt University",289557,524237,659304,955775,976403,1365318,1214376,1437848,2462530,1904994,3504240,3471060,3050554,4360860,5215391,7098295,5849307,7371526,4427646,2805057,3151860,2610114
"Macquarie University",6921005,6549757,8570464,8308524,10419831,10901557,12102966,8986902,10240420,8277025,7655714,9292738,11262996,14000772,15444833,14104482,14811151,14112967,14496179,23235627,26714690,29482917
"Southern Cross University",236090,313519,377735,240311,448480,913638,1042820,1554287,1560201,1521493,1331402,1712629,1723275,1343522,1653958,1994634,1567432,1544798,2056864,3123184,3661208,3656649
"The University of Sydney",33975139,35236256,34191589,35286685,35695571,41036979,44238060,46890577,52381524,49993134,59516283,73248062,83509705,94559858,109384089,118676652,137474687,147833683,151529176,170572321,174635019,173157430
"The University of New England",5528534,7494655,7916764,6262400,7114374,7270095,6103222,6152897,5364292,6204536,6599594,6209739,6179136,6576419,7025768,6645181,5864685,4423173,2970417,1983387,5291490,6117228
"The University of New South  Wales",29388570,31348590,33321174,34958863,41741935,37552526,40833159,46239296,48548878,44492399,47330887,52276410,58347471,67357689,71253748,86274368,99410208,122360982,122390219,121739009,143484402,148386265
"The University of Newcastle",7427008,7459499,8127161,8476518,10037241,10002378,9989317,11069840,11439252,11510347,12374284,15751115,17828191,21389223,22742404,22415312,26255351,30702217,32950978,32732589,38037837,34255235
"University of Technology, Sydney",2543489,2313899,2516752,1881909,2817090,3978253,3151658,4532311,3842078,5003399,4084651,8117915,8709573,11838389,12202853,12281528,9984457,12417419,13293916,13013593,14625130,16100756
"University of Western Sydney",1089847,1807312,1921872,2103348,2507359,3627653,3425815,3922844,4244003,4565936,4379091,4090965,4235314,5281867,5902587,7019605,6843402,9156154,9703669,9479282,11591127,11172325
"University of Wollongong",3796956,3974574,5614290,4325305,5121969,6396375,5221041,8359332,8366723,8764702,8744056,9882881,12171541,13565624,16465993,15339579,16967454,18513839,19366188,23298985,25511251,23880062
