"Institution",2010,2011,2012,2013
"Charles Sturt University",0,2363631,3014074,2421418
"Macquarie University",425645,198707,204084,182560
"Southern Cross University",24800,495907,213094,668029
"The University of Sydney",4640264,7595673,13202420,11151373
"The University of New England",57905,3091850,3974041,5164613
"The University of New South  Wales",3268887,198435,106554,153000
"The University of Newcastle",1235099,182252,83500,37500
"University of Technology, Sydney",307446,163764,379275,331511
"University of Western Sydney",77907,352919,789147,481802
"University of Wollongong",2035113,747486,1449495,1410581
"Deakin University",777535,531774,425215,1152730
"La Trobe University",53699,0,105857,49926
"Monash University",6525002,244870,499538,426859
"RMIT University",578520,269610,167929,228773
"Swinburne University of Technology",387680,5000,50000,0
"The University of Melbourne",3192329,6281605,3698296,4845676
"University of Ballarat",0,125000,69000,0
"Victoria University",80000,0,0,0
"Bond University",0,142075,102961,49897
"Central Queensland University",77950,509581,534027,376351
"Griffith University",782670,201409,246008,169818
"James Cook University",87145,1610494,1050575,951223
"Queensland University of Technology",36446,1336493,1518904,2087304
"The University of Queensland",9138726,5638481,8026887,12989156
"University of Southern Queensland",0,1433419,1483081,2268985
"University of the Sunshine Coast",0,148600,91000,146004
"Curtin University of Technology",600330,2172198,1896467,2706813
"Edith Cowan University",414611,0,0,123156
"Murdoch University",221557,3003453,3361197,3618392
"The University of Notre Dame Australia (member as from 2008 figures)",65092,0,0,0
"The University of Western Australia",1871288,5381320,10552318,5301161
"Flinders University",826556,598955,157006,250495
"The University of Adelaide",2385374,15181200,11699530,14030505
"University of South Australia",53315,1260168,560321,1056025
"University of Tasmania",505886,4212548,6163246,6077755
"Charles Darwin University",148422,12000,64000,3750
"The Australian National University",669080,1266960,1708202,767766
"University of Canberra",0,89430,9293,40000
"Australian Catholic University",0,0,0,0
