"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Charles Sturt University",289557,524237,659304,958275,981903,1365318,1214376,1437848,2462530,1909675,3529740,3471060,3093056,4375058,5225633,7122595,5948324,7387378,8432297,5180781,6173734,5049282
"Macquarie University",7229521,6691485,8641964,8326657,10488501,11032787,12143258,8986902,10240420,8297025,7795467,9458351,11437196,14184575,15633613,14305081,14970940,14443707,15002488,24624858,27705362,30801252
"Southern Cross University",236090,313519,377735,240311,448480,913638,1042820,1567287,1566701,1547493,1357402,1719129,1732425,1360134,1660998,2060233,1635348,1610894,2182789,3681171,3979317,4396336
"The University of Sydney",35698909,36502838,35457537,36486275,36989915,43987512,48106180,49762138,53517540,51247165,60944523,75874497,88466013,97220210,115492348,125825424,147251514,156617221,163713926,182369806,192055618,187973025
"The University of New England",5590376,7573554,7947013,6276406,7115464,7469004,6105578,6180298,5457511,6286148,6694083,7313858,7091246,6609745,7126370,6757579,5962958,4452673,5076978,5109262,9293056,11341562
"The University of New South  Wales",30157496,32257615,34227852,35796674,42468709,38649009,41747920,47865286,49773585,46080695,49171405,54852782,63086642,70409191,74014412,89964550,103122447,128419260,125786956,124918075,148104143,153541980
"The University of Newcastle",8044513,7879448,8371371,8790882,10310686,10261687,10180500,11216464,11658724,12377777,12801019,16153599,19030231,22254064,24026926,23831865,27204663,31967895,34374596,35165476,40505025,36561286
"University of Technology, Sydney",2939224,2357974,2556252,1974612,2839890,3978253,3200243,4710800,3926985,5040762,4111628,8166472,8840740,11886274,12298850,12393539,10036128,12417419,13632242,13581095,16356573,18016090
"University of Western Sydney",1089847,1807312,1941872,2103348,2507359,3672653,3477815,4002844,4283094,4676491,4518989,4271907,4434800,5311742,5913099,7145095,6889147,9257080,10278941,10016670,12542754,12041486
"University of Wollongong",4038923,4170909,5791788,4387431,5182769,6411375,5236041,8384332,8424273,8864232,8801656,11033242,13036531,15455917,17944891,16348538,17993062,20360325,21832415,25805970,29362558,27090912
"Deakin University",1731441,1745779,1836308,1846170,2015761,2703160,2649674,3599634,3831372,4853221,5399730,7147069,8744977,8857056,10168698,11116256,10074204,10977784,13858241,15914111,18018085,21650138
"La Trobe University",8518024,8431499,8504511,8761678,8738748,8957053,9215910,9307818,9885434,10607955,9526845,9473993,10659490,11054314,11016752,12761352,13804889,16482561,15362973,11267088,15881352,14626356
"Monash University",22077994,20204164,22739315,24554282,26398558,26611336,31208165,32564913,34544997,34891669,36297750,45893967,52352899,68836957,86877969,95467969,104754534,109660715,120346120,139110147,157500817,160086553
"RMIT University",3085277,3828147,4105633,3877168,2287411,2407217,3422383,2904434,3571532,3710986,3427754,4536697,6690471,6776650,7531390,8276634,9311528,10145116,10402380,13363327,13649838,14606070
"Swinburne University of Technology",501163,625069,944167,955184,1353640,1281815,1213791,1648210,1878710,2613295,2891302,3740124,4692971,4540345,5507919,5437070,7618951,7678446,8421809,10240025,11778264,13069949
"The University of Melbourne",35457732,38727670,42345020,45443122,46975003,51426495,52614603,58929951,60518873,66450966,74801422,87167861,93264300,106680028,128308284,146980890,161562459,166183827,174613387,197301206,207477470,210942410
"University of Ballarat",149615,164718,103598,202188,460177,242381,240919,469188,160336,536858,591775,826768,770854,841350,982654,1489808,1258846,700604,671566,930629,755763,1169594
"Victoria University",397119,656435,1120712,1172586,1416594,1165941,1027617,3019022,2616678,2233985,1685651,2884446,2845357,2930046,2239664,1291761,641483,1756723,1998664,3058381,2997958,3411069
"Bond University",0,0,0,0,0,0,0,0,61143,118334,87405,19224,99703,177978,141941,772662,1070214,886597,1011931,2093337,1331899,2212619
"Central Queensland University",317152,458902,576634,793576,786834,871131,819680,949243,1062518,985372,1247919,1197177,489663,1346820,998370,768508,1240996,1023853,1331623,1324925,1631585,1741491
"Griffith University",3776449,4276827,5032929,5589245,6595758,7176940,6253392,6679621,7437476,8225653,8651883,9664808,9832360,9916487,11811620,13495783,15164354,22328175,23559723,26861751,27416448,31040995
"James Cook University",3454440,2964072,3672997,4611307,5255131,6171499,5865503,6072998,6057994,5708294,5764222,5907244,6927280,6604135,9224640,12344440,14001027,14767237,18412439,21188565,21312010,21929119
