"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"group"
,4500,49097,106222,83945,0,15248,29734,0,15655,38623,70423,25891,39545,16000,40739,14091,30000,39000,44500,4500,42794,40000,"Local Government"
"Macquarie University",0,0,0,0,89039,13524,2721,0,0,26809,134641,57036,0,14765,77731,13008,107791,84478,59201,414285,102290,259912,"Local Government"
"Southern Cross University",0,0,43134,47488,3200,14330,55266,77597,40314,191616,458730,418140,264100,292946,197280,766638,135013,250530,306628,276158,200761,57050,"Local Government"
"The University of Sydney",0,0,0,0,4195,0,5000,53845,69448,92231,39893,79372,73860,73091,17701,32558,109034,147905,6199801,5431465,7346877,9893303,"Local Government"
"The University of New England",0,0,15434,45020,50730,20750,31317,148894,99435,113967,73995,53071,199177,57750,154630,74029,46353,236937,229118,196362,90455,82460,"Local Government"
"The University of New South  Wales",0,0,4244,120119,61070,116392,300296,263873,363358,555163,595275,583051,680302,801922,368539,108300,488742,520518,295442,585872,633611,896777,"Local Government"
"The University of Newcastle",88978,149072,12225,13817,79701,53557,61258,89606,57624,85955,128365,107614,252640,402506,527333,239982,348579,120086,13125,59405,61020,301861,"Local Government"
"University of Technology, Sydney",15000,0,22893,40245,14425,42949,53902,117546,186543,169700,93983,214175,369062,233052,252868,269955,355682,391296,1049618,2087497,2278384,1913939,"Local Government"
"University of Western Sydney",10450,0,45597,186957,78836,27100,37419,302133,290052,344526,204586,453128,314126,476276,242363,227854,216748,160728,81820,101645,90388,116164,"Local Government"
"University of Wollongong",0,39147,48375,106700,39440,36750,25000,120050,50650,79208,155746,99622,130134,130929,180070,85932,102431,24703,118362,123636,112164,125136,"Local Government"
"  VICTORIA",,,,,,,,,,,,,,,,,,,,,,,"Local Government"
"Deakin University",0,0,3651,11250,26750,0,500,18750,122384,61510,15976,37550,36603,110286,40834,101840,29847,51545,185820,113705,219180,159698,"Local Government"
"La Trobe University",12000,0,7500,13000,0,0,0,0,0,,0,0,58370,2200,761,48599,81280,1750,100611,133486,390466,95147,"Local Government"
"Monash University",153183,195635,90880,57430,109935,162800,145676,273036,286104,253634,309755,583996,749800,539992,872127,578079,849833,846006,1074406,876120,243778,567925,"Local Government"
"RMIT University",23234,28000,9730,0,132430,44925,218550,111000,179144,202273,104801,289958,350369,443078,679850,399480,578718,995585,132474,376884,430870,567326,"Local Government"
