"Object ID","Object Type","Longitude","Latitude","Distance (Parsecs)","Name","Map Sector","Diameter (Parsecs)","Distance source (ADS)"
"18218","cl","123.2672","-13.3038","302","Alessi 1","4_p33.0xp30.5","2.10839199001","2002A&A...389..871D"
"19656","cl","31.6536","-20.9888","513","Alessi 10","4_p33.0xp34.0","1.34303392775","2002A&A...389..871D"
"19729","cl","67.4656","-11.508","537","Alessi 12","4_p34.5xp33.0","3.12417460848","2002A&A...389..871D"
"18303","cl","238.5486","-56.9814","100","Alessi 13","4_p31.0xp31.5","2.90970282385","2002A&A...389..871D"
"19500","cl","40.2164","12.7578","550","Alessi 19","4_p33.5xp34.0","7.03987906998","2002A&A...389..871D"
"18339","cl","152.2918","6.3292","501","Alessi 2","4_p33.0xp28.5","2.18603876117","2002A&A...389..871D"
"18186","cl","117.4752","-3.7597","450","Alessi 20","4_p34.0xp30.0","2.61802341493","2002A&A...389..871D"
"18597","cl","223.437","0.0038","500","Alessi 21","4_p29.5xp29.0","3.05436418293","2002A&A...389..871D"
"19348","cl","328.8934","-14.7543","500","Alessi 24","4_p30.0xp34.0","9.60049045386","2002A&A...389..871D"
"18606","cl","257.9214","-15.3777","288","Alessi 3","4_p30.0xp31.0","3.01603919682","2002A&A...389..871D"
"19424","cl","15.1977","7.6544","650","Alessi 31","4_p32.5xp35.5","3.40342314371","2002A&A...389..871D"
"18567","cl","237.8828","-9.6045","750","Alessi 33","4_p27.5xp29.0","6.54515084307","2002A&A...389..871D"
"18758","cl","264.9227","-10.4438","1100","Alessi 34","4_p24.5xp31.0","7.67957347355","2002A&A...389..871D"
"19818","cl","101.7346","-11.4833","600","Alessi 37","4_p35.0xp30.5","3.14162136342","2002A&A...389..871D"
"19533","cl","13.9074","-5.601","800","Alessi 40","4_p32.5xp36.5","6.00404535076","2002A&A...389..871D"
"30727","cl","262.5038","1.4779","850","Alessi 43","4_p26.0xp31.0","5.93421586592","2002A&A...389..871D"
"19613","cl","40.208","-10.641","500","Alessi 44","4_p33.5xp34.0","5.7598412942","2002A&A...389..871D"
"19000","cl","288.0832","-2.0497","398","Alessi 5","4_p29.0xp32.5","1.91027753516","2002A&A...389..871D"
"26828","cl","43.2108","0.967","3900","Alessi 56","4_p48.5xp49.5","1.24791045777","2002A&A...389..871D"
"26846","cl","50.1969","0.7653","3900","Alessi 57","4_p50.5xp47.5","1.41808007974","2002A&A...389..871D"
"19237","cl","326.4865","4.2607","575","Alessi 8","4_p29.5xp34.5","2.00713679192","2002A&A...389..871D"
"19386","cl","344.2881","-8.9685","211","Alessi 9","4_p31.0xp33.0","4.60403637827","2002A&A...389..871D"
"19836","cl","111.2293","-5.3655","1000","Alessi J2327+55","4_p37.5xp29.0","3.66520784155","2002A&A...389..871D"
"26943","cl","87.4576","9.2775","550","Alessi-Teutsch 11","4_p35.0xp31.5","2.11185877364","2002A&A...389..871D"
"26611","cl","330.6618","-10.334","700","Alessi-Teutsch 12","4_p29.5xp35.5","6.71972402173","2002A&A...389..871D"
"18735","cl","266.4551","-12.8466","800","Alessi-Teutsch 3","4_p26.5xp31.0","5.02661439351","2002A&A...389..871D"
"19794","cl","104.4508","4.1477","900","Alessi-Teutsch 5","4_p37.0xp30.0","3.29868705739","2002A&A...389..871D"
"18814","cl","258.2955","0.2747","900","Alessi-Teutsch 7","4_p26.0xp30.5","7.85418101168","2002A&A...389..871D"
"19081","cl","297.0692","1.3932","650","Alessi-Teutsch 8","4_p28.0xp33.5","2.26893724304","2002A&A...389..871D"
"18298","cl","155.7355","-17.7959","700","Alessi-Teutsch 9","4_p33.5xp27.5","5.86444348376","2002A&A...389..871D"
"19359","cl","355.8565","1.6437","1250","Antalova 1","4_p31.0xp39.5","6.3632345295","2002A&A...389..871D"
"18685","cl","248.1255","-5.8761","13341","Arp-Madore 2","4_m47.5xp0.0","3.88073970127","2002A&A...389..871D"
"30011","cl","118.1525","0.1971","4000","ASCC 1","4_p54.0xp19.5","13.9626907264","2002A&A...389..871D"
"31437","cl","64.377","12.6628","350","ASCC 100","4_p33.5xp32.5","1.89370071701","2002A&A...389..871D"
"31448","cl","67.9939","11.5874","350","ASCC 101","4_p33.5xp32.5","2.19914379716","2002A&A...389..871D"
"31463","cl","63.2686","6.6426","1500","ASCC 102","4_p40.0xp36.0","4.71240448358","2002A&A...389..871D"
"31479","cl","54.9016","-1.5568","800","ASCC 104","4_p35.5xp34.5","6.70222112429","2002A&A...389..871D"
"31483","cl","62.7899","2.1516","500","ASCC 105","4_p34.5xp33.0","5.23617916115","2002A&A...389..871D"
"31498","cl","58.8654","-1.8908","700","ASCC 107","4_p35.5xp34.0","1.34390517519","2002A&A...389..871D"
"31509","cl","74.455","5.9857","1100","ASCC 108","4_p38.0xp33.5","4.22371754728","2002A&A...389..871D"
"31510","cl","70.3391","3.5111","450","ASCC 109","4_p34.0xp32.5","3.92709050584","2002A&A...389..871D"
"30131","cl","150.5641","-9.2301","650","ASCC 11","4_p33.5xp28.0","3.97067343781","2002A&A...389..871D"
"31529","cl","70.4505","1.3944","800","ASCC 110","4_p36.5xp33.0","3.21142307359","2002A&A...389..871D"
"31550","cl","74.6215","2.0778","1600","ASCC 111","4_p41.5xp34.0","15.3593691925","2002A&A...389..871D"
"31632","cl","82.8849","-6.6536","450","ASCC 113","4_p34.5xp32.0","3.69145416764","2002A&A...389..871D"
"31658","cl","97.0706","1.002","550","ASCC 114","4_p35.0xp31.0","1.53589373416","2002A&A...389..871D"
"31667","cl","97.4508","-2.5433","600","ASCC 115","4_p35.5xp31.0","1.67552043727","2002A&A...389..871D"
"31668","cl","99.4941","-0.318","5000","ASCC 116","4_p63.0xp26.0","15.7080149453","2002A&A...389..871D"
"31671","cl","104.8495","5.394","1200","ASCC 117","4_p39.0xp29.5","7.33047403903","2002A&A...389..871D"
"31686","cl","97.7321","-8.3873","1000","ASCC 119","4_p38.0xp30.5","3.66520784155","2002A&A...389..871D"
"30173","cl","163.0341","-1.8562","500","ASCC 12","4_p32.5xp28.5","2.18167541035","2002A&A...389..871D"
"31695","cl","104.7362","-0.6003","2500","ASCC 120","4_p47.0xp27.5","13.0900890143","2002A&A...389..871D"
"31696","cl","103.5643","-2.5913","2500","ASCC 121","4_p47.0xp28.0","10.035697105","2002A&A...389..871D"
"31697","cl","95.9112","-15.9023","700","ASCC 122","4_p36.0xp31.0","8.79692248637","2002A&A...389..871D"
"31702","cl","104.7462","-3.9989","250","ASCC 123","4_p33.0xp31.0","5.58598293107","2002A&A...389..871D"
"31713","cl","110.1783","2.7651","1500","ASCC 125","4_p40.5xp28.0","14.399408618","2002A&A...389..871D"
"31717","cl","106.5859","-8.4543","800","ASCC 126","4_p36.5xp30.0","4.18882848456","2002A&A...389..871D"
"31720","cl","112.2603","4.135","350","ASCC 127","4_p33.5xp30.5","4.39846124318","2002A&A...389..871D"
"31723","cl","109.9354","-5.963","900","ASCC 128","4_p37.0xp29.5","5.49785552927","2002A&A...389..871D"
"30199","cl","163.4007","3.2604","800","ASCC 13","4_p33.0xp26.5","9.77433012977","2002A&A...389..871D"
"31749","cl","116.2076","0.3363","3400","ASCC 130","4_p51.0xp22.0","8.90119952113","2002A&A...389..871D"
"30207","cl","171.8366","-1.0291","1100","ASCC 14","4_p32.5xp24.5","4.22371754728","2002A&A...389..871D"
"30211","cl","170.9846","0.0772","1400","ASCC 15","4_p33.0xp22.5","4.88694175423","2002A&A...389..871D"
"30220","cl","176.5624","-3.0711","2000","ASCC 17","4_p32.5xp18.5","8.7267016414","2002A&A...389..871D"
"30225","cl","202.0846","-18.4808","500","ASCC 18","4_p30.5xp28.5","5.4107318726","2002A&A...389..871D"
"30229","cl","204.8888","-19.4664","350","ASCC 19","4_p30.5xp29.5","4.88723950721","2002A&A...389..871D"
"30015","cl","118.4626","-6.8875","1200","ASCC 2","4_p38.0xp28.0","6.28324272684","2002A&A...389..871D"
"30236","cl","201.6686","-17.5262","450","ASCC 20","4_p30.5xp29.0","5.89082268818","2002A&A...389..871D"
"30237","cl","199.861","-16.4792","500","ASCC 21","4_p30.5xp28.5","6.98177072459","2002A&A...389..871D"
"30310","cl","167.5205","14.4219","600","ASCC 23","4_p32.5xp28.0","3.76996079513","2002A&A...389..871D"
"30324","cl","216.6402","-8.2268","400","ASCC 24","4_p30.0xp29.5","2.44349134634","2002A&A...389..871D"
"30373","cl","190.181","9.7281","1400","ASCC 25","4_p30.0xp23.0","5.13129097817","2002A&A...389..871D"
"30383","cl","206.3555","3.0696","800","ASCC 26","4_p29.0xp27.0","2.37365474816","2002A&A...389..871D"
"30392","cl","217.1182","-1.4574","1200","ASCC 27","4_p27.0xp25.5","4.18880721792","2002A&A...389..871D"
"30394","cl","213.0803","0.6625","800","ASCC 28","4_p28.5xp27.0","4.18882848456","2002A&A...389..871D"
"30395","cl","214.7267","-0.1156","750","ASCC 29","4_p29.0xp27.5","2.8798074186","2002A&A...389..871D"
"30024","cl","120.0209","-7.477","1700","ASCC 3","4_p41.0xp26.0","6.23085333063","2002A&A...389..871D"
"30402","cl","219.0925","-1.596","800","ASCC 30","4_p28.5xp27.5","3.6303097628","2002A&A...389..871D"
"30416","cl","210.8906","3.6984","600","ASCC 31","4_p29.5xp28.0","1.78024106112","2002A&A...389..871D"
"30424","cl","236.6762","-8.7291","800","ASCC 33","4_p27.5xp28.5","12.5674042589","2002A&A...389..871D"
"30450","cl","209.6722","6.9927","550","ASCC 34","4_p30.0xp28.5","2.87981958314","2002A&A...389..871D"
"30453","cl","213.4631","5.6893","800","ASCC 35","4_p28.5xp27.0","5.5851443444","2002A&A...389..871D"
"30458","cl","234.3172","-4.6368","750","ASCC 36","4_p27.5xp28.5","2.35620224179","2002A&A...389..871D"
"30470","cl","237.6905","-5.454","1600","ASCC 37","4_p23.0xp26.0","4.46805449938","2002A&A...389..871D"
"30504","cl","221.98","5.3651","500","ASCC 38","4_p29.5xp29.0","2.26894360175","2002A&A...389..871D"
"30525","cl","237.953","-1.7185","1500","ASCC 39","4_p23.5xp26.5","7.85405340855","2002A&A...389..871D"
"30043","cl","123.1377","-1.2911","750","ASCC 4","4_p35.5xp29.0","5.23607282287","2002A&A...389..871D"
"30530","cl","229.9738","2.8475","700","ASCC 40","4_p28.0xp28.5","2.19912209234","2002A&A...389..871D"
"30596","cl","244.7361","-0.3845","1000","ASCC 43","4_p25.5xp29.0","6.10872836586","2002A&A...389..871D"
"30650","cl","253.6325","-0.3108","3000","ASCC 45","4_p13.0xp26.0","10.4720180448","2002A&A...389..871D"
"30651","cl","264.4407","-7.3285","900","ASCC 46","4_p26.0xp31.0","6.28328738745","2002A&A...389..871D"
"30682","cl","257.3945","1.6155","400","ASCC 48","4_p29.0xp31.0","2.23404467132","2002A&A...389..871D"
"30045","cl","123.8553","-7.02","1500","ASCC 5","4_p39.5xp26.0","3.40339788166","2002A&A...389..871D"
"30753","cl","286.2453","-14.08","500","ASCC 51","4_p28.5xp32.5","5.7598412942","2002A&A...389..871D"
